starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 09 21:35:02 2008	1218332102995562	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103004254	0	19	19	18
Sat Aug 09 21:35:03 2008	1218332103004308	0	19	19	18
Sat Aug 09 21:35:03 2008	1218332103004343	0	19	19	18
Sat Aug 09 21:35:03 2008	1218332103004379	0	19	19	18
Sat Aug 09 21:35:03 2008	1218332103004447	0	19	19	18
Sat Aug 09 21:35:03 2008	1218332103004481	0	19	19	18
Sat Aug 09 21:35:03 2008	1218332103004516	0	19	19	18
Sat Aug 09 21:35:03 2008	1218332103004414	0	19	19	18
Sat Aug 09 21:35:03 2008	1218332103004550	0	19	19	18
Sat Aug 09 21:35:03 2008	1218332103004584	0	19	19	18
Sat Aug 09 21:35:03 2008	1218332103013893	0	18	18	18
Sat Aug 09 21:35:03 2008	1218332103013968	0	18	18	18
Sat Aug 09 21:35:03 2008	1218332103014036	0	18	18	18
Sat Aug 09 21:35:03 2008	1218332103014072	0	18	18	18
Sat Aug 09 21:35:03 2008	1218332103013932	0	18	18	18
Sat Aug 09 21:35:03 2008	1218332103014002	0	18	18	18
Sat Aug 09 21:35:03 2008	1218332103014107	0	18	18	18
Sat Aug 09 21:35:03 2008	1218332103014140	0	18	18	9
Sat Aug 09 21:35:03 2008	1218332103013836	0	19	19	18
Sat Aug 09 21:35:03 2008	1218332103014172	8	10	18	9
Sat Aug 09 21:35:03 2008	1218332103023323	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103023370	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103023406	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103023441	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103023476	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103023513	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103023546	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103023579	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103023611	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103023644	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103032654	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103032692	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103032728	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103032763	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103032796	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103032832	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103032867	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103032901	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103032595	0	17	17	17
Sat Aug 09 21:35:03 2008	1218332103032934	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103041386	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103041444	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103041480	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103041516	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103041587	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103041622	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103041656	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103041690	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103041723	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103041552	0	17	17	16
Sat Aug 09 21:35:03 2008	1218332103050047	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103050153	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103050189	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103050223	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103050259	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103050294	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103050343	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103050105	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103050413	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103050378	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103058769	0	18	18	8
Sat Aug 09 21:35:03 2008	1218332103058830	9	9	18	8
Sat Aug 09 21:35:03 2008	1218332103058867	9	9	18	8
Sat Aug 09 21:35:03 2008	1218332103058903	9	9	18	8
Sat Aug 09 21:35:03 2008	1218332103058939	9	9	18	8
Sat Aug 09 21:35:03 2008	1218332103058974	9	9	18	8
Sat Aug 09 21:35:03 2008	1218332103059008	9	9	18	8
Sat Aug 09 21:35:03 2008	1218332103059041	9	9	18	8
Sat Aug 09 21:35:03 2008	1218332103059075	9	9	18	8
Sat Aug 09 21:35:03 2008	1218332103059108	9	9	18	8
Sat Aug 09 21:35:03 2008	1218332103068508	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103068544	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103068580	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103068614	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103068649	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103068683	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103068718	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103068751	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103068785	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103068459	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103077205	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103077265	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103077302	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103077372	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103077407	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103077442	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103077477	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103077512	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103077545	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103077337	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103086647	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103086704	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103086742	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103086778	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103086813	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103086850	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103086884	0	18	18	17
